postcode,lat,long
2091,0.0,0.0
2092,-33.8,151.25
2093,-33.79,151.26
2094,-33.79,151.27
2095,-33.8,151.29
2096,-33.77,151.29
2097,-33.74,151.3
2099,-33.74,151.28
2100,-33.77,151.25
2101,-33.7,151.28
2102,-33.69,151.3
2103,-33.68,151.3
2104,-33.66,151.3
2105,-33.64,151.28
2106,-33.66,151.31
2107,-33.64,151.33
2108,-33.6,151.3
2109,-33.77,151.11
2110,-33.83,151.15
2111,-33.82,151.14
2112,-33.8,151.1
2113,-33.8,151.13
2114,-33.8,151.08
2115,-33.81,151.05
2116,-33.81,151.03
2117,-33.8,151.04
2118,-33.78,151.05
2119,-33.75,151.06
2120,-33.74,151.07
2121,-33.77,151.08
2122,-33.79,151.08
2123,-33.89,151.14
2124,-33.89,151.14
2125,-33.75,151.04
2126,-33.72,151.04
2127,-33.85,151.08
2128,-33.84,151.05
2129,-33.87,151.19
2130,-33.89,151.14
2131,-33.89,151.13
2132,-33.88,151.11
2133,-33.9,151.11
2134,-33.88,151.1
2135,-33.87,151.09
2136,-33.89,151.1
2137,-33.84,151.11
2138,-33.85,151.09
2139,-33.84,151.1
2140,-33.86,151.08
2141,-33.87,151.03
2142,-33.85,151.01
2143,-33.89,151.02
2144,-33.85,151.03
2145,-33.8,150.95
2146,-33.79,150.97
2147,-33.74,150.92
2148,-33.79,150.87
2150,-33.82,151.01
2151,-33.8,151.01
2152,-33.78,150.99
2153,-33.76,150.99
2154,-33.73,151.01
2155,-33.7,150.95
2156,-33.66,150.94
2157,-33.51,151.06
2158,-33.68,151.03
2159,-33.62,151.05
2160,-33.84,150.99
2161,-33.85,150.99
2162,-33.88,151.0
2163,-33.88,150.96
2164,-33.85,150.94
2165,-33.87,150.96
2166,-33.9,150.94
2167,-33.97,150.89
2168,-33.92,150.9
2170,-33.95,150.91
2171,-33.88,150.85
2172,-33.97,150.99
2173,-33.95,150.95
2174,0.0,0.0
2175,-33.85,150.85
2176,-33.88,150.87
2177,-33.89,150.89
2178,-33.87,150.84
2179,-33.93,150.81
2190,-33.89,151.06
2191,-33.9,151.08
2192,-33.92,151.09
2193,-33.9,151.12
2194,-33.91,151.1
2195,-33.92,151.08
2196,-33.93,151.05
2197,-33.9,150.99
2198,-33.91,150.98
2199,-33.91,151.03
2200,-33.92,151.03
2203,-33.9,151.14
2204,-33.91,151.16
2205,-33.94,151.15
2206,-33.93,151.1
2207,-33.93,151.13
2208,-33.94,151.1
2209,-33.95,151.08
221,-35.2,149.1
2210,-33.98,151.05
2211,-33.95,151.04
2212,-33.95,151.02
2213,-33.96,150.99
2214,-33.94,150.99
2216,-33.95,151.14
2217,-33.98,151.13
2218,-33.97,151.11
2219,-33.99,151.15
2220,-33.97,151.1
2221,-33.99,151.11
2222,-33.96,151.09
2223,-33.97,151.08
2224,-34.0,151.1
2225,-34.0,151.09
2226,-34.01,151.05
2227,-34.03,151.09
2228,-34.03,151.1
2229,-34.04,151.12
2230,-34.09,151.15
2231,-34.01,151.2
2232,-34.08,151.06
2233,-34.07,151.01
2234,-33.99,151.02
2250,-33.11,151.14
2251,-33.46,151.43
2252,0.0,0.0
2256,-33.5,151.33
2257,-33.51,151.34
2258,-33.34,151.39
2259,-33.27,151.4
2260,-33.43,151.41
2261,-33.38,151.48
2262,-33.21,151.49
2263,-33.27,151.54
2264,-33.1,151.55
2265,-33.08,151.45
2267,-33.07,151.58
2278,-32.93,151.59
2280,-33.04,151.66
2281,-33.08,151.65
2282,-32.99,151.64
2283,-33.06,151.58
2284,-32.93,151.63
2285,-32.93,151.66
2286,-32.91,151.58
2287,-32.89,151.69
2289,-32.93,151.73
2290,-33.0,151.69
2291,-32.94,151.75
2292,-32.92,151.74
2293,-32.91,151.75
2294,-32.92,151.77
2295,-32.85,151.81
2296,-32.91,151.75
2297,-32.91,151.75
2298,-32.91,151.73
2299,-32.9,151.69
2300,-32.94,151.77
2302,-32.92,151.76
2303,-32.92,151.75
2304,-32.88,151.75
2305,-32.93,151.71
2306,-33.0,151.68
2307,-32.88,151.69
2308,-35.13,147.32
2309,-30.35,148.89
2310,0.0,0.0
2311,-32.36,151.54
2312,-32.15,152.36
2314,-32.8,151.84
2315,-32.72,152.11
2316,-32.78,152.08
2317,-32.72,152.08
2318,-32.77,151.85
2319,-32.73,152.04
2320,-32.69,151.53
2321,-32.76,151.65
2322,-32.8,151.66
2323,-32.77,151.6
2324,-32.67,151.81
2325,-32.84,151.38
2326,-32.81,151.43
2327,-32.82,151.48
2328,-32.46,150.74
2329,-31.51,150.64
2330,-32.51,150.86
2331,-32.69,151.18
2333,-32.39,150.47
2334,-32.68,151.39
2335,-32.65,151.28
2336,-32.16,150.89
2337,-31.99,151.12
2338,-31.73,150.79
2339,-31.77,150.62
2340,-30.96,150.83
2341,-31.35,150.62
2342,-31.26,150.73
2343,-31.66,150.3
2344,-31.22,150.82
2345,-30.93,150.85
2346,-30.61,150.51
2347,-30.53,150.44
2348,0.0,0.0
2350,-30.24,152.01
2351,-30.49,151.64
2352,-31.06,151.05
2353,-30.95,151.05
2354,-31.27,151.55
2355,-30.88,151.16
2356,-30.62,148.97
2357,-31.51,149.79
2358,-30.59,151.56
2359,-30.0,151.08
2360,-29.84,151.04
2361,-29.32,151.1
2365,-30.08,151.88
2369,-29.91,151.21
2370,-29.64,151.96
2371,-29.39,152.04
2372,-28.93,151.7
2379,-31.07,149.71
2380,-30.8,150.2
2381,-31.24,150.46
2382,-30.7,150.04
2386,-30.11,148.97
2387,-29.78,149.09
2388,-30.09,149.44
2390,-30.6,149.97
2395,-31.55,149.38
2396,-30.94,149.07
2397,-29.92,149.79
2398,-29.74,149.8
2399,-29.58,150.14
2400,-29.32,149.81
2401,-29.58,150.34
2402,-29.51,150.75
2403,-29.65,150.83
2404,-29.8,150.48
2405,-28.73,149.58
2406,-29.0,149.1
2408,-28.93,150.39
2409,-28.74,150.42
2410,-29.05,150.64
2411,-29.13,150.38
2415,-32.29,151.86
2420,-32.43,151.77
2421,-32.51,151.53
2422,-31.97,152.07
2423,-32.49,152.28
2424,-31.8,152.07
2425,-32.54,151.96
2426,-31.83,152.61
2427,-31.84,152.74
2428,-32.35,152.54
2429,-31.73,152.28
2430,-32.07,152.54
2431,-30.89,153.07
2439,-31.66,152.68
2440,-31.06,152.77
2441,-30.82,152.83
2442,0.0,0.0
2443,-31.58,152.74
2444,-31.4,152.85
2445,-31.59,152.84
2446,-31.46,152.53
2447,-30.8,152.73
2448,-30.62,153.0
2449,-30.62,152.75
2450,-30.34,153.07
2452,-30.34,153.08
2453,-30.14,152.6
2454,-30.45,152.9
2455,-30.52,152.98
2456,-30.06,153.19
2460,-29.05,152.59
2462,-29.62,153.07
2463,-29.42,153.19
2464,-29.48,153.36
2465,-29.42,153.24
2466,-29.41,153.35
2469,-29.34,153.0
2470,-28.73,152.8
2471,-29.05,153.23
2472,-29.01,153.44
2473,-29.09,153.38
2474,-28.59,152.83
2475,-28.62,152.42
2476,-28.37,152.32
2477,-28.81,153.45
2478,-28.87,153.56
2479,-28.69,153.52
2480,-28.61,153.04
2481,-28.72,153.59
2482,-28.61,153.44
2483,-28.5,153.53
2484,-28.4,153.17
2485,-28.18,153.54
2486,-28.21,153.54
2487,-28.3,153.57
2488,-28.33,153.54
2489,-28.36,153.58
2490,-28.27,153.47
2500,-34.44,150.89
2502,-34.47,150.87
2505,-34.49,150.89
2506,-34.48,150.84
2508,-34.24,150.98
2515,-34.31,150.93
2516,-34.33,150.91
2517,-34.36,150.9
2518,-34.37,150.91
2519,-34.39,150.88
2520,-33.94,151.14
2522,-34.41,150.88
2525,-34.44,150.86
2526,-34.38,150.78
2527,-34.57,150.78
2528,-34.57,150.86
2529,-34.57,150.83
2530,-34.51,150.73
2533,-34.66,150.85
2534,-34.73,150.77
2535,-34.85,150.68
2536,-35.73,150.2
2537,-35.98,150.11
2538,-35.49,150.23
2539,-35.52,150.39
2540,-34.89,150.53
2541,-34.84,150.57
2545,-36.15,149.71
2546,-36.36,150.08
2548,-36.88,149.92
2549,-36.91,149.85
2550,-36.64,149.86
2551,-37.1,149.88
2555,-33.88,150.74
2556,-33.95,150.73
2557,-33.99,150.77
2558,-34.04,150.81
2559,-34.05,150.8
2560,-34.08,150.83
2563,-34.1,150.76
2564,-33.99,150.89
