,district_code,source,valuation_num,property_id,unit_number,house_number,street_name,suburb_name,postcode,contract_date,purchase_price,land_description,area,area_type,dimensions,comp_code,zone_code,vendor_name,purchaser_name
13644,206,ARCHIVE,2115300000000,1966749,,100,STATION ST,NEWTOWN,2042,,365000,LOT 5 DP 437410.,,,,EE,A,,
13645,135,ARCHIVE,1011870000000,1321883,,1 - 5,NURMI AVENUE,NEWINGTON,2127,,325000,"LOT 30 DP 270207, LOTS 1-60 SP 61070.",9084.0,M,,RU,A,,
13646,135,ARCHIVE,1011870000000,1321883,,1 - 5,NURMI AVENUE,NEWINGTON,2127,,420000,"LOT 30 DP 270207, LOTS 1-60 SP 61070.",9084.0,M,,RU,A,,
13647,135,ARCHIVE,1011870000000,1321883,,1 - 5,NURMI AVENUE,NEWINGTON,2127,,330000,"LOT 30 DP 270207, LOTS 1-60 SP 61070.",9084.0,M,,RU,A,,
13648,135,ARCHIVE,1011870000000,1321883,,1 - 5,NURMI AVENUE,NEWINGTON,2127,,325000,"LOT 30 DP 270207, LOTS 1-60 SP 61070.",9084.0,M,,RU,A,,
13649,135,ARCHIVE,1011870000000,1321883,,1 - 5,NURMI AVENUE,NEWINGTON,2127,,335000,"LOT 30 DP 270207, LOTS 1-60 SP 61070.",9084.0,M,,RU,A,,
13650,206,ARCHIVE,0892100000000,1951962,,71 - 73,ALICE ST,NEWTOWN,2042,,280000,"LOT 101 DP 871604, LOTS 1-30 SP 55923.",1353.2,M,,ED,A,,
13651,206,ARCHIVE,0996000000000,2806499,,8,ALICE ST,NEWTOWN,2042,,340200,LOT 3 DP 216062.,,,,EE,A,,
13652,211,ARCHIVE,212649100000,,,1,BROWN LN,NEWTOWN,2042,,500000,"LOT D DP 380468, LOTS 1-10 SP 50358.",664.0,M,,EV,B,,
13653,211,ARCHIVE,212649100000,,,1,BROWN LN,NEWTOWN,2042,,331000,"LOT D DP 380468, LOTS 1-10 SP 50358.",664.0,M,,EV,B,,
13654,211,ARCHIVE,397610000000,,,1,ERSKINEVILLE RD,NEWTOWN,2042,,270000,"LOT 1 DP 786017, LOTS 1-22 SP 60501.",1166.0,M,,JP,B,,
13655,093,ARCHIVE,835910000000,,,15 - 17,KALINYA ST,NEWPORT,2106,,570000,"LOT 101 DP 1020251, LOTS 1-7 SP 64442.",1534.0,M,,HX,A,,
13656,211,ARCHIVE,882400000000,,,44,QUEEN ST,NEWTOWN,2042,,352000,LOT B DP 444964 SUBJECT TO ROW.,,,,BP,A,,
13657,206,ARCHIVE,2407900000000,1970555,,43A,WELLS ST,NEWTOWN,2042,,310000,LOT B DP 444651.,88.5,M,,EE,A,,
13658,093,ARCHIVE,1644500000000,996843,,105,WALLUMATTA RD,NEWPORT,2106,,560000,LOT 6 DP 20379.,,,,HN,A,,
13659,014,VALNET1,3097000000000,378155,,7,SOLDIERS POINT DR,NORAH HEAD,2263,,192000,LOT 8 SEC 2 DP 758779.,619.7,M,,,A,,
13660,014,ARCHIVE,3604000000000,385313,,5,VICTORIA ST,NORAH HEAD,2263,,66250,LOT 28 DP 19572.,556.4,M,,CS,A,,
13661,014,VALNET1,2296100000000,365678,,41,MICHELE AVE,NORAVILLE,2263,,170000,LOT 34 DP 27833.,619.7,M,,,A,,
13662,082,ARCHIVE,491340000000,,,36,CARCOOLA CR,NORMANHURST,2076,,350000,LOT 7 DP 233141.31.7/17.63 34.19/28.04 SUBJ TO 2.44 WIDE DNGE E'MENT,746.1,M,,EC,A,,
13663,211,ARCHIVE,1162100000000,2151045,,18,WILSON ST,NEWTOWN,2042,,259000,"LOT 160 DP 1001937, LOTS 1-8 SP 60334.",196.0,M,,JP,B,,
13664,171,ARCHIVE,0946850412000,,,,BIRRIGAN CL,NOBBYS CREEK,2484,,80000,LOT 11 DP 1021881 SUBJECT TO RIGHT OF CARRIAGEWAY.,3.919,H,,,,,
13665,171,VALNET1,0094800000000,1806125,,20,BLACKWOODS RD,NOBBYS CREEK,2484,,342000,LOT 1 DP 587040.,2.0,H,,,R,,
13666,206,ARCHIVE,2420111000000,1970669,,74,WEMYSS ST,NEWTOWN,2042,,500000,LOT 17 DP 10219.,278.2,M,,EG,A,,
13667,211,ARCHIVE,1189900000000,2151377,,119,WILSON ST,NEWTOWN,2042,,165000,LOT 7 DP 108112 SUBJECT TO ROW.,135.28,M,,BP,A,,
13668,211,ARCHIVE,1181700000000,2151244,,448,WILSON ST,NEWTOWN,2042,,593000,LOT A DP 447140.,126.5,M,,BP,A,,
