post_code,area,contract_date,settlement_date,purchase_price,nature_of_property,primary_purpose,year
2145,885.2,11/07/2023,12/12/2023,1800000,R,RESIDENCE,2023
2160,,11/11/2023,12/08/2023,485111,R,RESIDENCE,2023
2141,202.0,11/02/2023,12/08/2023,1038000,R,RESIDENCE,2023
2145,,11/11/2023,12/11/2023,850000,R,RESIDENCE,2023
2141,,11/10/2023,12/08/2023,670000,R,RESIDENCE,2023
2144,241.81,11/12/2023,12/11/2023,870999,R,RESIDENCE,2023
2141,113.0,11/03/2023,12/11/2023,770000,R,RESIDENCE,2023
2146,,10/07/2023,12/11/2023,510000,R,RESIDENCE,2023
2145,,10/10/2023,12/08/2023,460000,R,RESIDENCE,2023
2141,106.0,11/02/2023,12/08/2023,720000,R,RESIDENCE,2023
2141,77.0,08/01/2023,12/11/2023,625000,R,RESIDENCE,2023
2161,418.3,09/12/2023,12/11/2023,980000,R,RESIDENCE,2023
2141,352.0,08/10/2023,12/12/2023,1900000,R,RESIDENCE,2023
2144,,11/09/2023,12/11/2023,520000,R,RESIDENCE,2023
2160,,11/10/2023,12/08/2023,680000,R,RESIDENCE,2023
2145,,11/01/2023,12/12/2023,555000,R,RESIDENCE,2023
2144,,11/02/2023,12/08/2023,509500,R,RESIDENCE,2023
2142,,09/11/2023,12/11/2023,520000,R,RESIDENCE,2023
2161,2698.0,11/09/2023,12/11/2023,9500000,R,RESIDENCE,2023
2145,380.2,11/04/2023,12/11/2023,998000,R,RESIDENCE,2023
2145,380.2,11/04/2023,12/11/2023,965000,R,RESIDENCE,2023
2161,127.0,11/09/2023,12/11/2023,589950,R,RESIDENCE,2023
2144,158.0,12/01/2023,12/11/2023,885000,R,RESIDENCE,2023
2144,113.0,12/04/2023,12/08/2023,655000,R,RESIDENCE,2023
2145,114.0,11/09/2023,12/11/2023,610000,R,RESIDENCE,2023
2710,849.9,11/10/2023,12/08/2023,330000,R,RESIDENCE,2023
2643,2049.0,11/09/2023,12/11/2023,500000,R,RESIDENCE,2023
2643,2023.0,11/01/2023,12/11/2023,620000,R,RESIDENCE,2023
2222,559.2,12/01/2023,12/12/2023,1735000,R,RESIDENCE,2023
2208,24.0,12/04/2023,12/08/2023,247500,3,WAREHOUSE,2023
2220,103.0,01/05/2023,12/08/2023,1030000,R,RESIDENCE,2023
2220,145.0,12/06/2023,12/12/2023,1300000,R,RESIDENCE,2023
2218,,11/06/2023,12/08/2023,705000,R,RESIDENCE,2023
2210,765.6,09/08/2023,12/08/2023,1550000,R,RESIDENCE,2023
2223,101.0,11/10/2023,12/08/2023,703088,R,RESIDENCE,2023
2223,,10/10/2023,12/11/2023,1250000,R,RESIDENCE,2023
2223,,11/02/2023,12/11/2023,210000,R,RESIDENCE,2023
2220,,11/10/2023,12/08/2023,485000,R,RESIDENCE,2023
2220,404.71,10/11/2023,12/12/2023,2600000,R,RESIDENCE,2023
2220,803.0,09/09/2023,12/08/2023,1921000,R,RESIDENCE,2023
2221,,10/10/2023,12/11/2023,1110000,R,RESIDENCE,2023
2218,455.3,11/10/2023,12/08/2023,1700000,R,RESIDENCE,2023
2217,125.0,12/01/2023,12/12/2023,650000,R,RESIDENCE,2023
2722,1572.0,11/07/2023,12/08/2023,680000,R,RESIDENCE,2023
2594,27.31,11/08/2023,12/11/2023,905000,R,RESIDENCE,2023
2594,600.7,11/10/2023,12/08/2023,367000,R,RESIDENCE,2023
2594,989.3,11/08/2023,12/11/2023,785000,R,RESIDENCE,2023
2587,1046.0,11/08/2023,12/07/2023,277500,R,RESIDENCE,2023
2203,,11/04/2023,12/11/2023,750000,R,RESIDENCE,2023
2050,,11/10/2023,12/12/2023,2000000,R,RESIDENCE,2023
2132,,11/04/2023,12/08/2023,1260000,R,RESIDENCE,2023
2131,499.5,11/11/2023,12/08/2023,2000000,R,RESIDENCE,2023
2204,,11/04/2023,12/11/2023,1441000,R,RESIDENCE,2023
2203,113.0,09/11/2023,12/08/2023,1020000,R,RESIDENCE,2023
2040,91.0,11/01/2023,12/11/2023,780000,R,RESIDENCE,2023
2038,191.64,10/07/2023,12/12/2023,2275000,R,RESIDENCE,2023
2040,185.93,08/12/2023,12/12/2023,2610000,R,RESIDENCE,2023
2040,259.28,12/11/2023,12/11/2023,1400000,R,RESIDENCE,2023
2203,73.4,11/08/2023,12/08/2023,790000,R,RESIDENCE,2023
2044,,10/12/2023,12/11/2023,3420000,3,COMMERCIAL,2023
2203,328.8,11/07/2023,12/08/2023,1975000,R,RESIDENCE,2023
2040,139.29,10/11/2023,12/08/2023,1875000,R,RESIDENCE,2023
2041,234.0,11/04/2023,12/11/2023,3010000,R,RESIDENCE,2023
2038,150.88,10/10/2023,12/12/2023,2420000,R,RESIDENCE,2023
2042,132.8,10/04/2023,12/11/2023,1650000,R,RESIDENCE,2023
2042,115.2,10/05/2023,12/07/2023,1550000,R,RESIDENCE,2023
2044,240.3,11/02/2023,12/08/2023,627000,R,RESIDENCE,2023
2204,,11/04/2023,12/08/2023,866000,R,RESIDENCE,2023
2044,284.5,11/09/2023,12/08/2023,1000000,R,RESIDENCE,2023
2131,,11/10/2023,12/08/2023,822000,R,RESIDENCE,2023
2039,141.0,11/03/2023,12/08/2023,2300000,R,RESIDENCE,2023
2039,202.3,12/06/2023,12/08/2023,1025000,R,RESIDENCE,2023
2312,1328.0,11/07/2023,12/11/2023,830000,R,RESIDENCE,2023
2324,1663.0,09/12/2023,12/12/2023,1240000,V,VACANT LAND,2023
2423,40.46,11/06/2023,12/12/2023,770000,V,VACANT LAND,2023
2430,695.6,11/07/2023,12/12/2023,355000,R,RESIDENCE,2023
2430,673.1,11/01/2023,12/08/2023,570000,R,RESIDENCE,2023
2428,948.3,11/10/2023,12/08/2023,1730000,R,RESIDENCE,2023
2428,,11/10/2023,12/08/2023,425000,R,RESIDENCE,2023
2423,1012.0,11/10/2023,12/12/2023,575000,R,RESIDENCE,2023
2324,,11/06/2023,12/11/2023,780000,R,RESIDENCE,2023
2428,318.3,10/04/2023,12/08/2023,600000,R,RESIDENCE,2023
2428,,11/09/2023,12/08/2023,480000,R,RESIDENCE,2023
2427,648.0,11/10/2023,12/12/2023,840000,R,RESIDENCE,2023
2731,689.0,11/11/2023,12/12/2023,835000,R,RESIDENCE,2023
2731,1030.0,12/01/2023,12/11/2023,310000,V,VACANT LAND,2023
2731,1140.0,12/01/2023,12/08/2023,320000,V,VACANT LAND,2023
2710,1012.0,09/11/2023,12/11/2023,270000,R,RESIDENCE,2023
2710,276.8,10/11/2023,12/11/2023,1200000,3,FARM,2023
2731,7194.0,11/11/2023,12/12/2023,1050000,R,RESIDENCE,2023
2731,713.6,10/12/2023,12/12/2023,556000,R,RESIDENCE,2023
2731,,10/10/2023,12/11/2023,330000,R,RESIDENCE,2023
2734,167.6,10/06/2023,12/06/2023,1300000,3,FARM,2023
2731,987.0,11/02/2023,12/08/2023,835000,R,RESIDENCE,2023
2095,,11/10/2023,12/12/2023,960000,R,RESIDENCE,2023
2093,403.2,11/04/2023,12/08/2023,2790000,R,RESIDENCE,2023
2093,,11/09/2023,12/08/2023,2200000,R,RESIDENCE,2023
2093,556.4,11/11/2023,12/11/2023,2600000,R,RESIDENCE,2023
2093,,10/05/2023,12/11/2023,1090000,R,RESIDENCE,2023
2100,600.7,11/07/2023,12/11/2023,2620000,R,RESIDENCE,2023
2099,663.9,11/04/2023,12/08/2023,2125000,R,RESIDENCE,2023
2099,,11/01/2023,12/08/2023,135000,R,RESIDENCE,2023
2099,,12/06/2023,12/12/2023,815000,R,RESIDENCE,2023
2099,,11/03/2023,12/08/2023,717500,R,RESIDENCE,2023
2086,980.1,11/03/2023,12/08/2023,1850000,R,RESIDENCE,2023
2100,657.6,10/11/2023,12/11/2023,2335000,R,RESIDENCE,2023
2086,556.4,11/08/2023,12/11/2023,2675000,R,RESIDENCE,2023
2101,,11/10/2023,12/08/2023,1335000,R,RESIDENCE,2023
2102,148.0,11/10/2023,12/08/2023,615000,3,OFFICE,2023
2100,173.0,10/09/2023,12/11/2023,1440000,R,RESIDENCE,2023
2103,157.0,11/02/2023,12/12/2023,5250000,R,RESIDENCE,2023
2103,,11/02/2023,12/12/2023,5250000,R,RESIDENCE,2023
2093,228.6,11/03/2023,12/11/2023,980000,R,RESIDENCE,2023
2085,878.9,09/02/2023,12/11/2023,2380000,R,RESIDENCE,2023
2099,243.6,11/10/2023,12/11/2023,1795000,R,RESIDENCE,2023
2101,556.4,11/07/2023,12/12/2023,2600000,R,RESIDENCE,2023
2105,1360.1,09/04/2023,12/08/2023,5200000,R,RESIDENCE,2023
2107,1126.0,11/10/2023,12/11/2023,2800000,R,RESIDENCE,2023
2107,1247.0,11/01/2023,12/11/2023,7000000,R,RESIDENCE,2023
2101,1265.0,05/10/2023,12/08/2023,2100000,R,RESIDENCE,2023
2101,,11/03/2023,12/11/2023,1450000,R,RESIDENCE,2023
2102,123.0,10/10/2023,12/08/2023,1230000,R,RESIDENCE,2023
2100,,11/03/2023,12/12/2023,692000,R,RESIDENCE,2023
2099,24.0,12/01/2023,12/08/2023,166320,3,WAREHOUSE,2023
2620,609.0,12/05/2023,12/08/2023,850000,R,RESIDENCE,2023
2620,1.092,10/05/2023,12/11/2023,650000,V,VACANT LAND,2023
2620,625.0,10/11/2023,12/11/2023,1600000,R,RESIDENCE,2023
2620,613.4,11/10/2023,12/12/2023,785000,R,RESIDENCE,2023
2620,650.1,11/11/2023,12/11/2023,810000,R,RESIDENCE,2023
2620,,11/09/2023,12/11/2023,485000,R,RESIDENCE,2023
2620,873.2,10/10/2023,12/12/2023,1200000,R,RESIDENCE,2023
2620,,11/09/2023,12/11/2023,312000,R,RESIDENCE,2023
2620,,11/08/2023,12/08/2023,270000,R,RESIDENCE,2023
2622,41.1,08/11/2023,12/08/2023,1075000,R,RESIDENCE,2023
2619,1105.0,11/10/2023,12/11/2023,1800000,R,RESIDENCE,2023
2620,,11/03/2023,12/08/2023,457000,R,RESIDENCE,2023
2621,1000.0,11/10/2023,12/11/2023,550000,R,RESIDENCE,2023
2621,1007.0,09/12/2023,12/11/2023,1050000,R,RESIDENCE,2023
2621,8.0,02/08/2023,12/08/2023,1400000,R,RESIDENCE,2023
2620,943.0,10/10/2023,12/11/2023,499000,R,RESIDENCE,2023
2620,889.0,10/10/2023,12/08/2023,482000,V,VACANT LAND,2023
2620,1051.0,11/03/2023,12/08/2023,960000,V,VACANT LAND,2023
2620,548.0,11/03/2023,12/08/2023,450000,R,RESIDENCE,2023
2620,160.0,10/12/2023,12/11/2023,550000,R,RESIDENCE,2023
2620,445.0,10/09/2023,12/11/2023,1110000,R,RESIDENCE,2023
2620,149.9,04/05/2023,12/11/2023,735000,R,RESIDENCE,2023
2620,147.3,11/08/2023,12/12/2023,349500,V,VACANT LAND,2023
2622,550.0,10/05/2023,12/08/2023,710000,R,RESIDENCE,2023
2632,2023.0,11/03/2023,12/08/2023,535000,R,RESIDENCE,2023
2632,733.5,11/06/2023,12/08/2023,390000,R,RESIDENCE,2023
2630,40.42,11/06/2023,12/12/2023,887500,R,RESIDENCE,2023
2630,1.905,10/09/2023,12/08/2023,745000,R,RESIDENCE,2023
2627,,11/03/2023,12/11/2023,1250000,R,RESIDENCE,2023
2720,3.689,11/07/2023,12/12/2023,1170000,R,RESIDENCE,2023
2642,932.0,11/08/2023,12/12/2023,145000,R,RESIDENCE,2023
2720,742.1,12/05/2023,12/11/2023,750000,3,SHOP,2023
2830,1042.0,12/05/2023,12/12/2023,1400000,3,SHOP,2023
2830,675.7,11/08/2023,12/12/2023,395000,R,RESIDENCE,2023
2830,373.1,10/12/2023,12/08/2023,605000,R,RESIDENCE,2023
2868,7600.0,11/10/2023,12/11/2023,240000,R,RESIDENCE,2023
2820,3035.0,11/01/2023,12/08/2023,645000,R,RESIDENCE,2023
2830,627.3,11/10/2023,12/08/2023,685000,R,RESIDENCE,2023
2830,352.7,11/09/2023,12/08/2023,590000,R,RESIDENCE,2023
2205,,11/04/2023,12/11/2023,1195000,R,RESIDENCE,2023
2205,,11/01/2023,12/08/2023,602500,R,RESIDENCE,2023
2205,,11/06/2023,12/07/2023,725000,R,RESIDENCE,2023
2207,169.0,08/03/2023,12/08/2023,810000,R,RESIDENCE,2023
2018,490.0,09/11/2023,12/11/2023,2580000,R,RESIDENCE,2023
2020,167.0,10/10/2023,12/11/2023,860000,R,RESIDENCE,2023
2216,,11/01/2023,12/11/2023,715000,R,RESIDENCE,2023
2217,,10/06/2023,12/08/2023,660000,R,RESIDENCE,2023
2216,445.91,11/10/2023,12/11/2023,1485000,R,RESIDENCE,2023
2216,411.0,11/01/2023,12/12/2023,1465000,R,RESIDENCE,2023
2219,,11/08/2023,12/08/2023,749000,R,RESIDENCE,2023
2219,,11/08/2023,12/08/2023,749000,R,RESIDENCE,2023
2217,,11/11/2023,12/11/2023,1050000,R,RESIDENCE,2023
2217,,11/11/2023,12/11/2023,1050000,R,RESIDENCE,2023
2207,505.92,09/09/2023,12/11/2023,1700000,R,RESIDENCE,2023
2217,246.6,11/04/2023,12/11/2023,1470000,R,RESIDENCE,2023
2019,556.4,10/03/2023,12/08/2023,2710000,R,RESIDENCE,2023
2460,556.4,11/10/2023,12/11/2023,640000,R,RESIDENCE,2023
2460,591.9,11/10/2023,12/08/2023,160000,R,RESIDENCE,2023
2460,5501.0,11/06/2023,12/11/2023,390000,R,RESIDENCE,2023
2460,2132.0,10/05/2023,12/11/2023,845000,R,RESIDENCE,2023
2460,1327.0,10/12/2023,12/12/2023,320000,V,VACANT LAND,2023
2460,459.0,11/08/2023,12/11/2023,500000,R,RESIDENCE,2023
2460,40.67,11/09/2023,12/11/2023,400000,V,VACANT LAND,2023
2460,2.017,11/10/2023,12/08/2023,450000,R,RESIDENCE,2023
2462,2.001,11/08/2023,12/08/2023,710000,R,RESIDENCE,2023
2460,1.5,10/12/2023,12/11/2023,1150000,R,RESIDENCE,2023
2460,699.9,11/10/2023,12/08/2023,450000,R,RESIDENCE,2023
2338,1119.2,12/06/2023,12/11/2023,130000,3,SHOP,2023
2337,3100.0,10/06/2023,12/12/2023,1040000,R,RESIDENCE,2023
2583,5.631,11/02/2023,12/08/2023,1560000,R,RESIDENCE,2023
2583,674.4,12/01/2023,12/08/2023,725000,R,RESIDENCE,2023
2583,727.2,12/08/2023,12/08/2023,580000,R,RESIDENCE,2023
2580,60.7,11/09/2023,12/07/2023,300000,V,VACANT LAND,2023
2582,1214.0,11/01/2023,12/08/2023,730000,R,RESIDENCE,2023
2581,112.8,08/06/2023,12/12/2023,4150000,3,COMMERCIAL,2023
2582,1647.0,12/07/2023,12/08/2023,725000,R,RESIDENCE,2023
2582,1655.0,12/07/2023,12/08/2023,698500,R,RESIDENCE,2023
2580,20.56,10/08/2023,12/08/2023,640000,V,VACANT LAND,2023
2580,37.74,11/09/2023,12/06/2023,775000,V,VACANT LAND,2023
2580,40.02,11/03/2023,12/08/2023,2500000,R,RESIDENCE,2023
2580,337.973,05/05/2023,12/08/2023,3330000,3,FARM,2023
2395,1126.0,11/10/2023,12/08/2023,110000,R,RESIDENCE,2023
2644,41.16,10/03/2023,12/12/2023,450000,3,FARM,2023
2642,1.272,11/01/2023,12/05/2023,440000,V,VACANT LAND,2023
2644,1012.0,11/07/2023,12/08/2023,300000,R,RESIDENCE,2023
2650,1.0,03/09/2023,12/12/2023,715000,V,VACANT LAND,2023
2650,976.4,11/10/2023,12/08/2023,680000,R,RESIDENCE,2023
2650,784.1,11/03/2023,12/08/2023,620000,R,RESIDENCE,2023
2650,720.8,11/10/2023,12/08/2023,490000,R,RESIDENCE,2023
2650,37.187,03/10/2023,12/01/2023,4000000,3,FARM,2023
2650,777.8,11/12/2023,12/11/2023,338000,R,RESIDENCE,2023
2650,736.0,11/09/2023,12/08/2023,510000,R,RESIDENCE,2023
2650,784.1,11/08/2023,12/08/2023,760000,R,RESIDENCE,2023
2650,436.3,11/06/2023,12/08/2023,670000,R,RESIDENCE,2023
2650,657.6,11/09/2023,12/08/2023,525000,R,RESIDENCE,2023
2650,746.6,11/10/2023,12/08/2023,880000,R,RESIDENCE,2023
2651,681.6,11/08/2023,12/08/2023,660000,R,RESIDENCE,2023
2795,30.86,11/03/2023,12/08/2023,1380000,3,FARM,2023
2795,10.01,11/03/2023,12/08/2023,1350000,R,RESIDENCE,2023
2795,515.0,11/07/2023,12/12/2023,585000,R,RESIDENCE,2023
2795,274.0,05/04/2023,12/08/2023,980000,3,COMMERCIAL,2023
2795,323.0,05/04/2023,12/08/2023,980000,3,COMMERCIAL,2023
2850,961.1,10/05/2023,12/08/2023,1800000,R,RESIDENCE,2023
2850,10.16,11/01/2023,12/12/2023,670000,R,RESIDENCE,2023
2850,9.23,11/10/2023,12/08/2023,378000,V,VACANT LAND,2023
2850,800.0,11/10/2023,12/11/2023,665000,R,RESIDENCE,2023
2444,672.4,11/08/2023,12/08/2023,1180000,R,RESIDENCE,2023
2444,544.0,05/04/2023,12/11/2023,399000,V,VACANT LAND,2023
2444,544.0,12/08/2023,12/11/2023,399000,R,RESIDENCE,2023
2444,512.0,12/01/2023,12/11/2023,399000,R,RESIDENCE,2023
2444,540.2,01/10/2023,12/11/2023,419000,R,RESIDENCE,2023
2444,580.3,12/06/2023,12/11/2023,410000,R,RESIDENCE,2023
2444,512.0,12/01/2023,12/11/2023,405000,V,VACANT LAND,2023
2444,512.0,12/01/2023,12/11/2023,405000,V,VACANT LAND,2023
2444,493.4,12/01/2023,12/11/2023,380000,R,RESIDENCE,2023
2444,474.8,11/10/2023,12/11/2023,380000,V,VACANT LAND,2023
2446,643.6,12/07/2023,12/12/2023,230000,V,VACANT LAND,2023
2446,503.4,03/09/2023,12/08/2023,239000,V,VACANT LAND,2023
2441,121.8,11/09/2023,12/08/2023,955000,R,RESIDENCE,2023
2444,,11/03/2023,12/08/2023,400000,R,RESIDENCE,2023
2444,835.6,11/06/2023,12/08/2023,1800000,R,RESIDENCE,2023
2444,,11/10/2023,12/08/2023,550000,R,RESIDENCE,2023
2444,692.9,11/09/2023,12/08/2023,780000,R,RESIDENCE,2023
2444,588.1,09/01/2023,12/08/2023,785000,R,RESIDENCE,2023
2444,334.0,11/10/2023,12/11/2023,730000,R,RESIDENCE,2023
2346,8397.0,11/07/2023,12/07/2023,455000,R,RESIDENCE,2023
2340,844.1,12/03/2023,12/12/2023,142000,V,VACANT LAND,2023
2340,619.9,06/02/2023,12/11/2023,147000,V,VACANT LAND,2023
2347,815.7,12/01/2023,12/08/2023,210000,R,RESIDENCE,2023
