area,contract_date,purchase_price,year,post_code
,10/04/1995,111500,1995,2527
600.0,14/09/1995,130000,1995,2527
437.5,10/02/1995,140000,1995,2527
562.0,15/11/1995,111500,1995,2527
557.6,29/08/1995,138000,1995,2527
621.2,18/08/1995,153000,1995,2527
611.2,09/08/1995,200000,1995,2289
,22/12/1995,130000,1995,2289
939.0,02/08/1995,238000,1995,2289
626.8,31/03/1995,225000,1995,2289
592.5,19/12/1995,122000,1995,2527
640.4,07/04/1995,163000,1995,2527
637.8,14/02/1995,109800,1995,2527
5895.0,17/10/1995,155000,1995,2289
692.6,31/10/1995,168000,1995,2527
640.6,22/02/1995,109000,1995,2527
933.8,17/01/1995,110500,1995,2527
569.6,29/01/1995,155000,1995,2527
556.4,20/07/1995,110000,1995,2527
,31/03/1995,106500,1995,2289
627.8,30/06/1995,258500,1995,2289
628.7,26/05/1995,156000,1995,2289
505.9,12/08/1995,143000,1995,2289
505.9,13/04/1995,110000,1995,2289
600.7,02/05/1995,125000,1995,2289
639.1,19/12/1995,102000,1995,2527
701.9,29/05/1995,200000,1995,2289
600.7,13/02/1995,220000,1995,2289
613.4,30/11/1995,212500,1995,2289
778.8,11/11/1995,166000,1995,2289
556.4,19/10/1995,250000,1995,2289
556.4,07/07/1995,235000,1995,2289
615.3,25/05/1995,219000,1995,2289
547.7,13/10/1995,175000,1995,2289
606.2,27/09/1995,216000,1995,2289
,22/03/1995,166000,1995,2289
,06/06/1995,166000,1995,2289
,12/04/1995,138000,1995,2289
,28/09/1995,121000,1995,2289
798.4,19/10/1995,175000,1995,2289
,09/09/1995,146000,1995,2289
,04/12/1995,192000,1995,2289
645.5,14/07/1995,139950,1995,2289
645.5,15/09/1995,145000,1995,2289
524.8,04/07/1995,112000,1995,2289
,30/01/1995,136000,1995,2289
499.6,04/10/1995,110000,1995,2289
,21/07/1995,118000,1995,2289
556.4,01/05/1995,117000,1995,2527
556.4,23/11/1995,135750,1995,2527
643.3,10/02/1995,129500,1995,2527
628.8,28/08/1995,142000,1995,2527
469.0,27/04/1995,134000,1995,2527
,08/12/1995,132000,1995,2289
607.0,12/08/1995,160250,1995,2289
